gene_symbol,log2FoldChange,pvalue
Prkd2,-0.341095662214479,0.0160304700530823
BC001981,-0.295953117460231,0.0160304700530823
Coq10b,-0.333515505306389,0.0171014634158056
Ccdc64,0.329120661227836,0.0172999526624888
Igkv4-53,-0.246520476674327,0.0175002088044522
Cilp2,-0.231527306042742,0.0193799573525126
RP23-193N1.2,-0.25600476283326,0.0194969486046876
Gm12693,-0.322759441020975,0.0204373542431634
Rundc3a,0.286365531426817,0.0204980402613601
RP23-123D6.12,-0.314158127192793,0.0221550522448639
Sgpl1,-0.203006817721195,0.0227609413577436
Ralgds,0.285703979416755,0.0238032269985207
Mir652,0.322868922836897,0.0253513577292551
Sfn,0.326667903368445,0.0264027475646876
Tmem198,-0.325402058901191,0.0264027475646876
B230377A18Rik,-0.255159948671775,0.0272229241985385
Gm13391,-0.248231859632699,0.0276522363131207
Gspt2,-0.319003331989492,0.0279658097136488
Gm26912,-0.295398883164429,0.0284009988832859
Crry-ps,0.301578741995282,0.031273746857531703
Gm15247,-0.27515975584086,0.0318555406141343
Zfpl1,0.303695162668615,0.0319347151278667
Adcy7,-0.242062966236487,0.0319814578018382
Gm15432,-0.305480115998409,0.0319814578018382
Foxd2os,0.31880725606681,0.0319814578018382
Aicda,-0.283471394353618,0.0322362578215443
Ranbp10,-0.306475017739422,0.0322842900167002
Mrps21,0.323094408853391,0.0328227149927192
Adsl,-0.321429137546057,0.0336243278487419
Usp31,-0.214586600537534,0.0344817385814051
4930415F15Rik,-0.253340987534727,0.0351564523756609
Gm12632,0.295713494567159,0.0351564523756609
Gm42978,0.297688509187447,0.0351564523756609
Gm44243,0.320268354988467,0.0351564523756609
Gm37407,-0.320199623134543,0.0354948736468426
Piga,-0.264027275672827,0.0357623222562094
Uba5,-0.253113190999727,0.0363880682419324
Gm12380,-0.263204908934192,0.0364918051352599
Icosl,-0.282387317746585,0.0371203243417875
Atp8a2,-0.282741237367405,0.0371203243417875
Trappc12,0.315488597461333,0.0372359283610611
Gm8488,-0.286595423316671,0.0372359283610611
Cln5,-0.211641079758789,0.0396151306384398
Cnnm4,0.243599561779016,0.0408701583409541
Rpl7l1,0.286297958362612,0.0408841517509987
Vpreb3,0.224484814109443,0.0415886781074745
Gm20634,-0.292783459180306,0.0418110398262686
Fis1,-0.247958213892845,0.0421476766528224
Tiam1,-0.232725476117976,0.042504196417668
Tbc1d9b,0.260376746784236,0.0425664405528176
Mzf1,0.289734068350027,0.0425664405528176
Smim5,-0.189441664680187,0.0452811316643968
Gm3839,0.283470354178025,0.0464827214345298
Pon2,0.292202662805461,0.0491469837545479
Coch,0.223126614330696,0.0499897485363621
RP23-186O3.13,-0.202875246082719,0.0523259950850163
Gm26927,-0.208153239728185,0.0523259950850163
Primpol,0.287068840196319,0.0527808115355706
Gm37274,0.279150722695741,0.0530581456864625
Gm37677,-0.213286642281645,0.0548450784325156
Gm12479,0.291208810588334,0.0563257884128451
Dnajc7,0.302454727185117,0.057337713009765
Zfp296,-0.267559590732937,0.057337713009765
Tmod3,-0.252260124768156,0.057337713009765
Bysl,-0.272759927037578,0.0574500800578526
Gm14336,-0.29622065823025,0.0590390689071903
Tnfaip3,-0.245646975573295,0.0590390689071903
Mir7023,-0.26415183715158,0.0590390689071903
