Country,Continent,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Marruecos,Africa,13214,12824,12601,12552,12827,13058,14418,15659,15880,15009,15661
Sudan del Sur,Africa,0,0,0,0,0,0,1,1,1,0,2
Sudan,Africa,14,10,9,8,9,22,27,25,25,24,31
Tunez,Africa,179,171,169,180,216,255,278,282,304,341,524
Belice,America,1,1,0,0,0,0,1,1,1,0,0
Costa Rica,America,303,295,290,345,489,539,604,597,558,491,509
El Salvador,America,1004,926,989,1097,1331,1566,1886,2236,2311,2280,2520
Guatemala,America,308,286,279,324,398,405,440,465,465,433,499
Honduras,America,5451,5494,5849,6726,8005,9542,11744,14140,15113,14507,16619
Mexico,America,4516,3982,3774,3849,4376,4377,4534,4664,4476,4166,4555
Nicaragua,America,553,566,579,647,732,801,949,1233,1264,1173,1253
Panama,America,320,285,261,261,371,419,466,492,477,441,477
Canada,America,512,541,597,605,742,756,766,852,889,852,956
Estados Unidos de America,America,3596,3511,3672,3864,4768,5016,5359,5795,5967,5545,6188
Argentina,America,6869,6137,5602,5647,6146,6701,7638,9203,9801,10414,12841
Bolivia,America,13463,11607,9946,9280,9063,8582,8628,8382,7756,6570,6110
Brasil,America,6271,5631,5455,5676,6404,6584,7376,7933,8100,7015,7650
Colombia,America,11550,9215,8011,7930,9059,10192,12290,15215,16375,16740,23188
Ecuador,America,13688,10849,8647,8108,8059,7751,7814,7631,7327,6606,6577
Guyana,America,4,4,2,2,3,2,2,1,1,2,2
Paraguay,America,4238,3757,3629,3610,3984,4086,4194,4323,4302,4021,4657
Peru,America,12506,10258,8486,7955,8372,9069,10558,12399,13045,13105,17511
Surinam,America,0,0,0,0,1,1,2,2,2,1,1
Uruguay,America,1990,1705,1498,1443,1474,1536,1589,1664,1657,1516,1571
Venezuela,America,4213,3928,4344,5028,6277,7936,10185,13073,13829,13472,15964
Chile,America,4462,3846,3426,3382,3804,4007,4270,4635,4618,4444,5315
Antigua y Barbuda,America,2,2,2,0,0,1,1,5,6,7,5
Bahamas,America,3,4,2,1,3,3,4,10,12,10,4
Barbados,America,2,3,5,5,6,7,7,7,7,5,6
Cuba,America,2323,2149,2026,2034,2073,2104,2205,2314,2312,2190,2516
Dominica,America,12,12,20,19,35,36,45,44,41,36,36
Granada,America,1,1,0,1,1,1,1,2,3,3,6
Haiti,America,27,22,21,25,30,33,37,38,45,49,52
Jamaica,America,14,11,8,9,11,10,11,12,11,10,12
Republica Dominicana,America,7508,6590,6098,5636,5751,5716,5942,5842,5706,5414,5355
San Cristobal y Nieves,America,2,3,3,4,3,2,2,0,2,2,14
Santa Lucia,America,1,2,1,1,0,0,0,0,0,0,0
San Vicente y las Granadinas,America,0,0,0,0,0,0,2,1,1,0,0
Trinidad y Tobago,America,4,4,1,2,6,9,12,12,11,4,7
Australia,Oceania,272,281,296,324,395,381,420,489,508,434,464
Nueva Zelanda,Oceania,84,98,89,88,110,107,115,122,123,87,91
Fiji,Oceania,0,0,0,0,0,0,0,0,0,0,0
Islas Salomon,Oceania,0,0,0,0,0,1,1,0,0,1,0
Vanuatu,Oceania,0,0,0,0,0,0,0,0,0,1,8
Kiribati,Oceania,0,0,0,0,0,0,0,0,0,4,3
Tonga,Oceania,0,0,0,0,0,0,0,1,0,0,0
Kazajstan,Asia,155,193,237,304,412,409,453,534,528,508,562
Kirguistan,Asia,23,26,34,35,41,40,50,75,77,70,78
Tayikistan,Asia,5,8,9,3,4,4,6,7,9,11,8
Turkmenistan,Asia,5,5,5,10,13,15,12,9,10,4,8
Uzbekistan,Asia,67,61,60,65,85,106,120,129,129,112,106
Afganistan,Asia,79,64,82,81,87,104,115,119,146,202,277
Bangladesh,Asia,3448,3447,3439,3662,4059,4525,5388,6142,6421,5719,5582
Bhutan,Asia,0,0,0,0,0,0,1,2,2,2,2
India,Asia,5093,5030,5105,5327,5792,6202,7163,8174,8495,7695,8013
Iran,Asia,420,443,417,451,586,872,965,1097,1262,1184,1387
Maldivas,Asia,0,0,3,4,5,4,3,3,3,5,12
Nepal,Asia,1090,1115,1095,1096,1217,1324,1514,1571,1590,1486,1470
Pakistan,Asia,21637,20052,19414,19192,19285,1924,20643,22749,23696,22550,22821
Sri Lanka,Asia,16,13,9,12,20,18,18,23,28,31,43
Arabia Saudi,Asia,61,75,90,101,131,130,125,112,110,113,138
Armenia,Asia,1902,1894,1999,2090,2209,2304,2284,2248,2178,1995,1975
Azerbaiyan,Asia,88,90,111,145,163,159,148,163,174,153,131
Bahrein,Asia,0,0,0,1,15,10,8,8,7,5,5
Emiratos Arabes Unidos,Asia,6,2,3,3,7,7,10,19,19,17,15
